murdock_name,isocode,prom_trust_relative,prom_trust_neigh,prom_trust_intra,prom_trust_inter,prom_trust_gov
TSIMIHETY,MDG,2.1136363,1.6363636,1.75,1.2954545,1.8409091
TUMBUKA,MWI,2.4827585,2.1172414,2.0625,1.5454545,1.6518519
TURKANA,KEN,2.4736843,2.2105262,2.1578948,1.6842105,1.8823529
TURU,TZA,2.121212,1.9469697,2.0227273,1.780303,2.2748091
VENDA,ZAF,2.1052632,1.4285715,1.2727273,1.0566038,1.3571428
WANGA,KEN,1.955,1.53,1.5427135,1.3383838,1.4010416
WOLOF,SEN,2.8638744,2.4790211,2.2762923,2.0923913,1.8463157
XOSA,ZAF,2.3236716,1.8014528,1.6917475,1.2751843,1.5353535
YAO,MWI,2.5177665,2.2171717,2.1989796,1.9896908,1.9298246
YERGUM,NGA,2.75,1.75,2.25,1.875,.75
YORUBA,NGA,1.9520866,1.3390357,1.0669782,.86327505,.90981013
ZEZURU,ZWE,,,,,1.157764
ZULU,ZAF,1.9977578,1.4498886,1.4372197,1.0137615,1.2075472
