ADM0_NAME,rgdppc_200,rgdppc_195,rgdppc_197,rgdppc_2_1,rgdppc_1_1,slave_expo
Togo,1436.855000000000018,573.994000000000028,1055.553000000000111,614.221999999999980,833.230000000000018,290000.000000000000000
Uganda,1243.513999999999896,686.854000000000042,784.287000000000035,796.523000000000025,699.696000000000026,4553.603000000000065
United Republic of Tanzania,521.826999999999998,423.713999999999999,600.268000000000029,535.125000000000000,527.039999999999964,535000.000000000000000
Zambia,774.009999999999991,660.909999999999968,1040.743999999999915,645.375000000000000,863.642000000000053,27957.101999999998952
Zimbabwe,2499.215000000000146,700.979000000000042,1401.810999999999922,1327.849999999999909,1163.541999999999916,1088.176999999999907
Algeria,5417.909999999999854,1364.740000000000009,2521.952999999999975,2864.550999999999931,2389.184999999999945,61834.148000000001048
Abyei,,,,,,
Libya,,857.168000000000006,5515.242000000000189,2312.992999999999938,3978.577000000000226,8847.930000000000291
Morocco,3513.833999999999833,1455.361000000000104,1830.967000000000098,2657.561999999999898,1952.038999999999987,0.000000000000000
Rwanda,1039.172000000000025,546.902000000000044,805.649000000000001,818.696000000000026,739.706000000000017,0.000000000000000
Sao Tome and Principe,,820.357999999999947,1421.446999999999889,1225.895999999999958,1255.840999999999894,0.000000000000000
Tunisia,6251.551000000000386,1114.596000000000004,2446.059000000000196,4552.261999999999716,2441.639999999999873,0.000000000000000
Western Sahara,,,,,,
Hala'ib triangle,,,,,,
Ma'tan al-Sarra,,,,,,
Egypt,3598.329000000000178,909.903000000000020,1420.782999999999902,2936.673999999999978,1711.680000000000064,1491.701000000000022
Ilemi triangle,,,,,,
