NAME,TRIBE_CODE,LAT,LON,land_area,atlantic_,atlantic1,atlantic2,atlantic3,indiannum,indianall,indian_n1,indian_n2,indian_n3,atlantica,isocode,prom_trust_relative,prom_trust_neigh,prom_trust_intra,prom_trust_inter,prom_trust_gov
BORROM,"123",9.67305494460,10.15120000000,"3658.76335211999","0","0","0","0","0","0","0","0","0","0",,,,,,
BOSAKA,"124",-0.69210500000,21.98660000000,"26518.95064473357","0","0","0","0","0","0","0","0","0","0",,,,,,
BOZO,"125",14.36740000000,-4.77327000000,"10519.44482567647","0","0","0","0","0","0","0","0","0","0",MLI,2.7222223,2.3333333,2.3888888,1.8333334,1.6111112
BRONG,"126",7.95114159119,-2.17049000000,"20390.10041050737","0","0","0","0","0","0","0","0","0","0",,,,,,
BUA,"127",10.06110000000,18.18390000000,"16055.59429384295","0","0","0","0","0","0","0","0","0","0",,,,,,
BUBI,"128",3.48536177542,8.69629211916,"2014.259346806839","0","0","0","0","0","0","0","0","0","0",,,,,,
BUDJA,"129",2.59068572473,22.79890000000,"29559.87978635883","0","0","0","0","0","0","0","0","0","0",,,,,,
BUDU,"130",2.11638600396,28.12080000000,"8100.006833946279","0","0","0","0","0","0","0","0","0","0",,,,,,
BUDUMA,"131",13.52730000000,14.42370000000,"3061.830449979087","0","0","0","13","0","0","0","0","0","13",,,,,,
BUEM,"132",7.46989018092,0.63685802326,"2419.823951801037","0","0","0","0","0","0","0","0","0","0",,,,,,
BUILSA,"133",10.47450000000,-1.20059000000,"2459.12269019847","0","0","0","0","0","0","0","0","0","0",,,,,,
BULGEDA,"134",17.11670000000,17.97300000000,"141632.6061979033","0","0","0","0","0","0","0","0","0","0",,,,,,
BULOM,"135",8.84007727012,-13.03670000000,"3347.704749355799","0","0","720","1428","0","0","0","0","0","2148",,,,,,
BUNDA,"136",-5.07835000000,19.61570000000,"9345.769681305894","0","0","0","0","0","0","0","0","0","0",,,,,,
BUNU,"137",8.16312287194,6.06827387822,"8665.638675536808","0","0","0","2164","0","0","0","0","0","2164",,,,,,
BURA,"138",10.88200000000,12.56850000000,"6222.321502032162","0","0","0","0","0","0","0","0","0","0",,,,,,
BURUNGI,"139",-5.10301000000,36.23210000000,"3483.45572698708","0","0","0","0","0","0","0","0","0","0",,,,,,
BUSA,"140",10.51500000000,4.20238395897,"23862.49960775928","0","0","0","18","0","0","0","0","0","18",,,,,,
BUSANSI,"141",11.49970000000,-0.34856300000,"9494.388404193209","0","0","0","0","0","0","0","0","0","0",,,,,,
BUTAWA,"142",11.12740000000,9.11486569868,"4595.986706894642","0","0","0","0","0","0","0","0","0","0",,,,,,
BUYE,"143",-5.86110000000,28.14050000000,"78823.69810393869","0","0","0","0","1514","6438","757","1625","2542","0",TZA,2,2,2,2,2
BWAKA,"144",3.54277510206,19.29150000000,"55681.59800267332","0","0","0","0","0","0","0","0","0","0",,,,,,
CAPE HOTTENTOT,"145",-33.08870000000,21.89820000000,"174414.295291575","0","0","0","0","0","0","0","0","0","0",,,,,,
CHAAMBA,"146",31.13830000000,5.70154934992,"249703.8502251713","0","0","0","0","0","0","0","0","0","0",,,,,,
CHAGA,"147",-3.21442000000,37.45420000000,"6514.441384040232","0","0","0","0","41","174","20","44","69","0",TZA,2.375,1.8070176,1.75,1.6964285,2.1428571
CHAKOSSI,"148",10.26040000000,0.48552385099,"2145.760116647939","0","0","0","0","0","0","0","0","0","0",,,,,,
CHAMBA,"149",8.38942490971,11.86060000000,"9873.772266187816","0","0","4812","6906","0","0","0","0","0","11718",,,,,,
CHEWA,"150",-14.21120000000,33.35110000000,"79702.55586253738","0","0","0","8955","41","174","20","44","69","8955",MWI,2.5072465,2.1597097,2.169708,1.6231618,1.8643411
CHIGA,"151",-1.11146000000,29.96430000000,"4437.052480397031","0","0","0","0","0","0","0","0","0","0",UGA,2.2587411,1.8811189,1.7062937,1.2657343,2.1985815
CHOKWE,"152",-9.65783000000,20.31890000000,"223137.554370579","0","0","0","590","0","0","0","0","0","590",ZMB,3,0,2,0,2
CHOPI,"153",-24.40100000000,34.64450000000,"12987.04633146026","0","0","0","16358","0","0","0","0","0","16358",MOZ,2.3,1.5,1.6865672,1.5072464,2.1904762
CHUABO,"154",-17.67840000000,36.20910000000,"46959.7221480023","0","0","0","779","0","0","0","0","0","779",MOZ,2.5504587,2.0550458,2.0183487,1.7222222,2.2087913
COMORIANS,"155",-12.06890000000,43.95970000000,"2063.378337932136","0","0","0","0","0","0","0","0","0","0",,,,,,
CYRENAICANS,"156",32.43280000000,21.62920000000,"17873.12166027106","0","0","0","0","0","0","0","0","0","0",,,,,,
DAFI,"157",12.59600000000,-3.13995000000,"6393.601889841683","0","0","0","235","0","0","0","0","0","235",MLI,2.6785715,2.2222223,2.1481481,1.8846154,2.5185184
DAGARI,"158",10.77170000000,-2.56012000000,"7768.963244530463","0","0","0","2324","0","0","0","0","0","2324",GHA,2.4255319,1.8675214,1.7863247,1.4913044,1.838565
DAGOMBA,"159",9.46330804576,-0.16376400000,"21275.44720347441","0","0","1459","0","0","0","0","0","0","1459",GHA,2.3181818,1.7142857,1.5909091,1.3636364,1.7727273
DAGU,"160",12.36930000000,24.93330000000,"11989.78480081356","0","0","0","0","0","0","0","0","0","0",,,,,,
DAKA,"161",8.33905642087,11.15120000000,"2301.486442686044","0","0","0","0","0","0","0","0","0","0",,,,,,
DAKHLA,"162",25.65300000000,28.97280000000,"24148.01049367352","0","0","0","0","0","0","0","0","0","0",,,,,,
DAMA,"163",8.82147090801,14.28670000000,"3197.401829245184","0","0","0","0","0","0","0","0","0","0",,,,,,
DAN,"164",7.61112437310,-7.67537000000,"9768.259130227249","0","0","273","40","0","0","0","0","0","313",,,,,,
DARASA,"165",6.59996973351,38.65760000000,"10078.62334908695","0","0","0","0","0","0","0","0","0","0",,,,,,
DARI,"166",8.96962510475,15.02500000000,"6159.277656729928","0","0","0","0","0","0","0","0","0","0",,,,,,
DAZA,"167",15.54760000000,13.26010000000,"177194.9935446754","0","0","0","0","0","0","0","0","0","0",,,,,,
DEFORO,"168",14.28090000000,-1.06280000000,"4904.498833748829","0","0","0","0","0","0","0","0","0","0",,,,,,
DEKAKIRI,"169",11.17750000000,17.26450000000,"7075.425354186759","0","0","0","0","0","0","0","0","0","0",,,,,,
DELIM,"170",21.51580000000,-15.11200000000,"116931.016315652","0","0","0","0","0","0","0","0","0","0",,,,,,
DENDI,"171",11.98340000000,3.21831324645,"5578.609722970307","0","0","0","0","0","0","0","0","0","0",BEN,2.2820513,1.9743589,1.6666666,1.5263158,2.1944444
DERA,"172",9.99478048835,12.25070000000,"1508.543567968952","0","0","0","0","0","0","0","0","0","0",,,,,,
DIALONKE,"173",11.99950000000,-10.31750000000,"20139.56955481768","0","0","0","0","0","0","0","0","0","0",,,,,,
DIAN,"174",11.02880000000,-3.43986000000,"2271.322867133756","0","0","0","157","0","0","0","0","0","157",,,,,,
DIDA,"175",5.58733579577,-5.64321000000,"16252.26199057108","0","0","0","0","0","0","0","0","0","0",,,,,,
DIDINGA,"176",4.37477194532,33.70350000000,"9279.667672561603","0","0","0","0","0","0","0","0","0","0",,,,,,
DIGO,"177",-4.39497000000,38.95790000000,"5537.617837550829","0","0","0","0","2046","8700","1023","2196","3435","0",KEN,2.25,2,1.8333334,1.25,0.91666669
DILLING,"178",12.33570000000,30.52200000000,"15406.166261112","0","0","0","0","0","0","0","0","0","0",,,,,,
DINKA,"179",8.40800475260,29.40440000000,"147579.2611623611","0","0","0","0","0","0","0","0","0","0",,,,,,
DIOLA,"180",12.83930000000,-16.40900000000,"8564.662915428049","0","0","352","121","0","0","0","0","0","473",SEN,2.8363636,2.6909091,2.4339623,2.2830188,2.3461537
DIULA,"181",8.97151637163,-4.15205000000,"5126.535681630812","0","0","0","0","0","0","0","0","0","0",,,,,,
DOGON,"182",14.43980000000,-3.21671000000,"25268.39604070399","0","0","0","0","0","0","0","0","0","0",MLI,2.9264705,2.6865671,2.6470587,2.0769231,2.40625
DOROBO,"183",-0.03620040000,35.84100000000,"3973.194307895614","0","0","0","0","0","0","0","0","0","0",,,,,,
DOROSIE,"184",10.41740000000,-3.82634000000,"4620.270092560456","0","0","0","0","0","0","0","0","0","0",,,,,,
DRAWA,"185",30.66080000000,-6.36560000000,"14713.32929491033","0","0","0","0","0","0","0","0","0","0",,,,,,
